Name,Location,Beschreibung,Kategorie,Viertel,Google_Maps_Suche,Import_Status,Pruefstatus,id
Doremi Pharmacy,"75 Seongsui-ro, 1F, Seongdong-gu, Seoul, South Korea","K-Beauty-Apotheke, laut Post der One-Stop-Shop in Seongsu. Personal spricht Englisch, kuratierte Bundles und Wellness-Produkte.",Shopping,Seongsu,https://www.google.com/maps/search/?api=1&query=Doremi%20Pharmacy%2075%20Seongsui-ro%2C%201F%2C%20Seongdong-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,tt16
Olive Young N Seongsu,"13 Yeonmujang 7-gil, Seongdong-gu, Seoul, South Korea","Die große Olive-Young-Filiale in Seongsu, laut Post mit wechselnden Pop-ups.",Shopping,Seongsu,https://www.google.com/maps/search/?api=1&query=Olive%20Young%20N%20Seongsu%2013%20Yeonmujang%207-gil%2C%20Seongdong-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,tt19
Rieti,"17 Yeonmujang-gil, 2F, Seongdong-gu, Seoul, South Korea","Brillen-Store. Bekannt für die Brille, die BTS V in Seoul getragen hat.",Shopping,Seongsu,https://www.google.com/maps/search/?api=1&query=Rieti%2017%20Yeonmujang-gil%2C%202F%2C%20Seongdong-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,tt18
Verish (베리시),"36 Yeonmujang-gil, 1-2F, Seongdong-gu, Seoul, South Korea","Sportswear-Store, im Post als Pflichtstopp in Seoul für Sportkleidung genannt.",Shopping,Seongsu,https://www.google.com/maps/search/?api=1&query=Verish%20%28%EB%B2%A0%EB%A6%AC%EC%8B%9C%29%2036%20Yeonmujang-gil%2C%201-2F%2C%20Seongdong-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,tt17
Eunpyeong Hanok Village,"8 Yeonseo-ro 50-gil, Eunpyeong-gu, Seoul 03308, South Korea","Hanok-Dorf im Norden, ruhiger als Bukchon.",Sightseeing,Eunpyeong-gu,https://www.google.com/maps/search/?api=1&query=Eunpyeong%20Hanok%20Village%208%20Yeonseo-ro%2050-gil%2C%20Eunpyeong-gu%2C%20Seoul%2003308%2C%20South%20Korea,OK,neu recherchiert,tt30
Hapjeong,"391-19 Hapjeong-dong, Mapo-gu, Seoul, South Korea","Wird zusammen mit Hannam als bestes Shopping-Viertel genannt, ausdrücklich als Gegenentwurf zu Seongsu.",Sightseeing,Mapo-gu,https://www.google.com/maps/search/?api=1&query=Hapjeong%20391-19%20Hapjeong-dong%2C%20Mapo-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,tt32
MMCA Seoul,"30 Samcheong-ro, Jongno-gu, Seoul, South Korea","Nationalmuseum für moderne und zeitgenössische Kunst, aus der Empfehlungsliste.",Sightseeing,Jongno-gu,https://www.google.com/maps/search/?api=1&query=MMCA%20Seoul%2030%20Samcheong-ro%2C%20Jongno-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,tt29
Seongbuk-dong,"Seongbuk-dong, Seongbuk-gu, Seoul, South Korea",Als Lieblingsviertel im Seoul-Guide mit Jennie genannt.,Sightseeing,Seongbuk-gu,https://www.google.com/maps/search/?api=1&query=Seongbuk-dong%20Seongbuk-dong%2C%20Seongbuk-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,tt31
Bello Clinic,"111 Dosan-daero, S-TOWER 7-9F, Gangnam-gu, Seoul, South Korea",Klinik mit Fokus auf natürliche Lippen statt Volumen.,Treatments,Seoul,https://www.google.com/maps/search/?api=1&query=Bello%20Clinic%20111%20Dosan-daero%2C%20S-TOWER%207-9F%2C%20Gangnam-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,tt14
Cha Hong (차홍),"10 Eonju-ro 152-gil, Gangnam-gu, Seoul, South Korea","Bekannter Hair-Salon mit Rundum-Programm: Snacks, Gesichtsvermessung und persönliche Farbanalyse zur Haarfarbe. Auch als CHAHONG ADER genannt.",Treatments,Seoul,https://www.google.com/maps/search/?api=1&query=Cha%20Hong%20%28%EC%B0%A8%ED%99%8D%29%2010%20Eonju-ro%20152-gil%2C%20Gangnam-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,tt04
Comme Nana Bien,"96-13 Cheongdam-dong, Gangnam-gu, Seoul, South Korea","Haarsalon, im Post als feste Korea-Tradition beschrieben. Stylistin: Jungin.",Treatments,Itaewon,https://www.google.com/maps/search/?api=1&query=Comme%20Nana%20Bien%2096-13%20Cheongdam-dong%2C%20Gangnam-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,tt05
Core Museums Seoul,"124-15 Samseong-dong, Gangnam-gu, Seoul, South Korea","Pilates in kleinen Gruppen, englischsprachige Stunden, Buchung per DM.",Treatments,Seoul,https://www.google.com/maps/search/?api=1&query=Core%20Museums%20Seoul%20124-15%20Samseong-dong%2C%20Gangnam-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,tt15
Diony Seoyeon,"10 Dosan-daero 53-gil, 2F, Gangnam-gu, Seoul, South Korea","Haarsalon, in zwei unabhängigen Videos empfohlen.",Treatments,Seoul,https://www.google.com/maps/search/?api=1&query=Diony%20Seoyeon%2010%20Dosan-daero%2053-gil%2C%202F%2C%20Gangnam-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,tt09
Dr. Evers Clinic,"458 Gangnam-daero, Namyoung Building 8-9F, Gangnam-gu, Seoul, South Korea","Hautklinik, im Post für die Juvelook-Behandlung empfohlen.",Treatments,Seoul,https://www.google.com/maps/search/?api=1&query=Dr.%20Evers%20Clinic%20458%20Gangnam-daero%2C%20Namyoung%20Building%208-9F%2C%20Gangnam-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,tt11
Jungsaemmool (정샘물),"101 Yeonmujang-gil, Seongdong-gu, Seoul, South Korea",Make-up-Schule und Studio. Zwei Creatorinnen haben dort Kurse gemacht und beschreiben echte Techniken statt Show.,Treatments,Seoul,https://www.google.com/maps/search/?api=1&query=Jungsaemmool%20%28%EC%A0%95%EC%83%98%EB%AC%BC%29%20101%20Yeonmujang-gil%2C%20Seongdong-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,tt07
JUNO Seoul,"14 Itaewon-ro 45-gil, Yongsan-gu, Seoul, South Korea","Neu eröffnetes Hair-Wellness-Studio, 18-Schritte-Head-Spa in den Varianten A, B und C, mit Styling zum Abschluss. Laut Creatrip eher Wellness-Retreat als Salon. Zeitweise 20 Prozen",Treatments,Hannam,https://www.google.com/maps/search/?api=1&query=JUNO%20Seoul%2014%20Itaewon-ro%2045-gil%2C%20Yongsan-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,tt03
LAVV Brow,"4F, 176-5 Donggyo-dong, Mapo-gu, Seoul",Augenbrauen-Tattoo. Wird im Post als der Glow-up-Termin für Korea beschrieben.,Treatments,Hongdae (Mapo-gu),https://www.google.com/maps/search/?api=1&query=LAVV%20Brow%204F%2C%20176-5%20Donggyo-dong%2C%20Mapo-gu%2C%20Seoul,OK,vorhandene Adresse übernommen,tt02
My Color Lab Seoul,"28 Namdaemun-ro 10-gil, Yujoo Building 803, Jung-gu, Seoul, South Korea",Farbanalyse bei Dr. Jiwoon.,Treatments,Myeongdong,https://www.google.com/maps/search/?api=1&query=My%20Color%20Lab%20Seoul%2028%20Namdaemun-ro%2010-gil%2C%20Yujoo%20Building%20803%2C%20Jung-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,tt08
Relieve Clinic,"842 Nonhyeon-ro, Apgujeong Building 6F, Gangnam-gu, Seoul, South Korea","Hautklinik, im Post im Zusammenhang mit Rejuran genannt.",Treatments,Seoul,https://www.google.com/maps/search/?api=1&query=Relieve%20Clinic%20842%20Nonhyeon-ro%2C%20Apgujeong%20Building%206F%2C%20Gangnam-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,tt13
Reone Dermatology,"652-16 Sinsa-dong, 2-3F, Gangnam-gu, Seoul, South Korea","Hautklinik. Mehrere Behandlungen an einem Tag, höchster Schmerzpegel laut Creatorin 4 von 10. Ärztin: Dr. Kim.",Treatments,Seoul,https://www.google.com/maps/search/?api=1&query=Reone%20Dermatology%20652-16%20Sinsa-dong%2C%202-3F%2C%20Gangnam-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,tt12
Aquafield,"750 Misa-daero, Hanam-si, Gyeonggi-do, South Korea","Großes koreanisches Spa: heiße Bäder, mehrere Saunaräume, Essen, Terrassen und ein Wasserpark. Kurze Taxifahrt aus Seoul, ganzen Tag einplanen. Zweite Filiale in Goyang.",Diverses,Hanam (außerhalb),https://www.google.com/maps/search/?api=1&query=Aquafield%20750%20Misa-daero%2C%20Hanam-si%2C%20Gyeonggi-do%2C%20South%20Korea,OK,vorhandene Adresse übernommen,aqua
Cheonggyechon stream,"Cheonggyecheon, Jongno-gu, Seoul, South Korea",Aus eurer Excel-Liste.,Diverses,Seoul,https://www.google.com/maps/search/?api=1&query=Cheonggyechon%20stream%20Cheonggyecheon%2C%20Jongno-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,xl42
Eyeho,"11 Nonhyeon-ro 167-gil, Gangnam-gu, Seoul, South Korea",Aus eurer Excel-Liste.,Diverses,Gangnam,https://www.google.com/maps/search/?api=1&query=Eyeho%2011%20Nonhyeon-ro%20167-gil%2C%20Gangnam-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,xl45
Hongdae,"Hongdae, Mapo-gu, Seoul, South Korea",Aus eurer Excel-Liste.,Diverses,Seoul,https://www.google.com/maps/search/?api=1&query=Hongdae%20Hongdae%2C%20Mapo-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,xl09
Karaoke,"Hongdae, Mapo-gu, Seoul, South Korea",Aus eurer Excel-Liste.,Diverses,Seoul,https://www.google.com/maps/search/?api=1&query=Karaoke%20Hongdae%2C%20Mapo-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,xl08
Myeongwol 명월,"40 Wangneung-gil, Gimhae-si, Gyeongsangnam-do, South Korea","Hanok neu interpretiert: Café, Buchladen, Shop und 200-Pyeong-Moosgarten mit acht Wasserbecken und Nebelanlage. 11 bis 22 Uhr, montags zu.",Diverses,Gimhae (außerhalb),https://www.google.com/maps/search/?api=1&query=Myeongwol%20%EB%AA%85%EC%9B%94%2040%20Wangneung-gil%2C%20Gimhae-si%2C%20Gyeongsangnam-do%2C%20South%20Korea,OK,vorhandene Adresse übernommen,myeo
Olive Young,"115 Toegye-ro, Jung-gu, Seoul, South Korea","Drogeriekette, überall in der Stadt. Tipp aus dem Post: mit klarer Einkaufsliste reingehen, sonst kauft man nach Verpackung.",Diverses,Seoul,https://www.google.com/maps/search/?api=1&query=Olive%20Young%20115%20Toegye-ro%2C%20Jung-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,olive
Stairfiled Library,"513 Yeongdong-daero, Starfield COEX Mall B1, Gangnam-gu, Seoul, South Korea",Aus eurer Excel-Liste.,Diverses,Gangnam,https://www.google.com/maps/search/?api=1&query=Stairfiled%20Library%20513%20Yeongdong-daero%2C%20Starfield%20COEX%20Mall%20B1%2C%20Gangnam-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,xl41
All D'se 올딧세,"29-16 Hangang-daero 21-gil, 1F, Yongsan-gu, Seoul, South Korea","Café und Restaurant. HYBE-Spot, von BTS, ENHYPEN oder LE SSERAFIM besucht.",Food,Yongsan,https://www.google.com/maps/search/?api=1&query=All%20D%27se%20%EC%98%AC%EB%94%A7%EC%84%B8%2029-16%20Hangang-daero%2021-gil%2C%201F%2C%20Yongsan-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,alld
Breack Silence,"26 Achasan-ro 11-gil, 2F, Seongdong-gu, Seoul, South Korea","Ruhige Bar mit guter Musik, entspannte Atmosphäre.",Food,Seongsu,https://www.google.com/maps/search/?api=1&query=Breack%20Silence%2026%20Achasan-ro%2011-gil%2C%202F%2C%20Seongdong-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,brsi
Chompi,"55 Daesagwan-ro 34-gil, Yongsan-gu, Seoul, South Korea",Eines der BTS-Lokale aus dem Reel. Ein Kommentar beschreibt Qualität und Geschmack allerdings als enttäuschend.,Food,Seoul,https://www.google.com/maps/search/?api=1&query=Chompi%2055%20Daesagwan-ro%2034-gil%2C%20Yongsan-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,chom
Friends & Yard,"11 Yeonmujang 15-gil, Building B, 1F Unit 125, Seongdong-gu, Seoul, South Korea",Australisches Brunch-Café mit Terrasse.,Food,Seongsu,https://www.google.com/maps/search/?api=1&query=Friends%20%26%20Yard%2011%20Yeonmujang%2015-gil%2C%20Building%20B%2C%201F%20Unit%20125%2C%20Seongdong-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,fy
Goat Deli,"13 Pirundae-ro 5ga-gil, Jongno-gu, Seoul, South Korea","Deli aus dem Spots-Carousel, Schild im Bild erkennbar.",Food,Seoul,https://www.google.com/maps/search/?api=1&query=Goat%20Deli%2013%20Pirundae-ro%205ga-gil%2C%20Jongno-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,goat
Graphic by Daishin 그래픽바이대신,"387 Wiryesunhwan-ro, Songpa-gu, Seoul, South Korea","Lesecafé, in dem man Stunden verbringen kann. Snacks und Getränke unbegrenzt inklusive.",Food,Songpa,https://www.google.com/maps/search/?api=1&query=Graphic%20by%20Daishin%20%EA%B7%B8%EB%9E%98%ED%94%BD%EB%B0%94%EC%9D%B4%EB%8C%80%EC%8B%A0%20387%20Wiryesunhwan-ro%2C%20Songpa-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,gbd
Menten Ramen,"305 Samil-daero, Jung-gu, Seoul, South Korea","Ist schnell ausverkauft, hat den Hype laut Post aber eingelöst. Empfehlung: gleich Nachschlag bestellen.",Food,Seoul,https://www.google.com/maps/search/?api=1&query=Menten%20Ramen%20305%20Samil-daero%2C%20Jung-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,ment
Meyeongdong Kyoja,"29 Myeongdong 10-gil, Jung-gu, Seoul, South Korea",Aus eurer Excel-Liste.,Food,Seoul,https://www.google.com/maps/search/?api=1&query=Meyeongdong%20Kyoja%2029%20Myeongdong%2010-gil%2C%20Jung-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,xl10
Okeunnae 2 Dakgalbi 오근내2닭갈비,"40-9 Hangangno 3-ga, Yongsan-gu, Seoul, South Korea","Dakgalbi-Restaurant. HYBE-Spot, von BTS, ENHYPEN oder LE SSERAFIM besucht.",Food,Yongsan,https://www.google.com/maps/search/?api=1&query=Okeunnae%202%20Dakgalbi%20%EC%98%A4%EA%B7%BC%EB%82%B42%EB%8B%AD%EA%B0%88%EB%B9%84%2040-9%20Hangangno%203-ga%2C%20Yongsan-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,okn
Standard Bun 스탠다드 번,"37 Hangang-daero, Units 106-109, Yongsan-gu, Seoul, South Korea","Café und Bakery. HYBE-Spot, von BTS, ENHYPEN oder LE SSERAFIM besucht.",Food,Yongsan,https://www.google.com/maps/search/?api=1&query=Standard%20Bun%20%EC%8A%A4%ED%83%A0%EB%8B%A4%EB%93%9C%20%EB%B2%88%2037%20Hangang-daero%2C%20Units%20106-109%2C%20Yongsan-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,sbun
Taco Stand,"34 Sinheung-ro, Yongsan-gu, Seoul, South Korea","Beste Tacos in Seoul laut Post. Am Wochenende sehr voll, unter der Woche gehen.",Food,Noksapyeong,https://www.google.com/maps/search/?api=1&query=Taco%20Stand%2034%20Sinheung-ro%2C%20Yongsan-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,taco
Tapa Copa,"29 Hangang-daero 54-gil, 1F, Yongsan-gu, Seoul, South Korea","Spanische Tapas, jedes Gericht überzeugend, faire Preise.",Food,Yongsan,https://www.google.com/maps/search/?api=1&query=Tapa%20Copa%2029%20Hangang-daero%2054-gil%2C%201F%2C%20Yongsan-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,tapa
8Seconds,"32 Myeongdong-gil, Jung-gu, Seoul, South Korea","Schnelle Trends, kräftige Farben, saisonale Drops.",Shopping,Myeongdong,https://www.google.com/maps/search/?api=1&query=8Seconds%2032%20Myeongdong-gil%2C%20Jung-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,8sec
Ader Error,"19-18 Wausan-ro 21-gil, Mapo-gu, Seoul, South Korea","Aus dem Spots-Carousel, Store-Schild im Bild erkennbar.",Shopping,Seoul,https://www.google.com/maps/search/?api=1&query=Ader%20Error%2019-18%20Wausan-ro%2021-gil%2C%20Mapo-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,ader
ALAND,"40 Myeongdong 8-gil, Jung-gu, Seoul, South Korea","Kuratierte Plattform für aufstrebende Designer. Achtung: laut Kommentar geschlossen, an der Stelle eröffnet ein Musinsa Standard.",Shopping,Myeongdong,https://www.google.com/maps/search/?api=1&query=ALAND%2040%20Myeongdong%208-gil%2C%20Jung-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,aland
Amomento,"1 Yulgok-ro, 4F, Jongno-gu, Seoul, South Korea","Aus dem Spots-Carousel, Store-Schild im Bild erkennbar.",Shopping,Seoul,https://www.google.com/maps/search/?api=1&query=Amomento%201%20Yulgok-ro%2C%204F%2C%20Jongno-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,amom
Baserange Seoul,"6 Jahamun-ro 10-gil, Jongno-gu, Seoul, South Korea",Store aus dem Shopping-Guide gegen Touri-Fallen.,Shopping,Seoul,https://www.google.com/maps/search/?api=1&query=Baserange%20Seoul%206%20Jahamun-ro%2010-gil%2C%20Jongno-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,baser
Berry New Pharmacy,"18 Myeongdong 8-gil, Jung-gu, Seoul, South Korea",K-Beauty-Apotheke mit Tax-free und mehrsprachiger Beratung.,Shopping,Seoul,https://www.google.com/maps/search/?api=1&query=Berry%20New%20Pharmacy%2018%20Myeongdong%208-gil%2C%20Jung-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,berry
CLO,"70 Eoulmadang-ro, Mapo-gu, Seoul, South Korea","Der Store, den die Creatorin bei jedem Korea-Besuch ansteuert. Beschrieben als asiatisches Zara.",Shopping,Seoul,https://www.google.com/maps/search/?api=1&query=CLO%2070%20Eoulmadang-ro%2C%20Mapo-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,clo
COVERNAT,"10 Myeongdong 8-gil, Jung-gu, Seoul, South Korea","Amerikanische Casualwear koreanisch interpretiert: Varsity-Jacken, Grafik-Shirts, College-Look.",Shopping,Myeongdong,https://www.google.com/maps/search/?api=1&query=COVERNAT%2010%20Myeongdong%208-gil%2C%20Jung-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,cov
EMIS,"32-5 Myeong-dong 2-ga, Jung-gu, Seoul, South Korea","Bekannt für Caps und Taschen, nostalgische Farben, verspielte Details.",Shopping,Myeongdong,https://www.google.com/maps/search/?api=1&query=EMIS%2032-5%20Myeong-dong%202-ga%2C%20Jung-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,emis
Gentle Monster,"50 Apgujeong-ro 46-gil, Gangnam-gu, Seoul, South Korea",Aus eurer Excel-Liste.,Shopping,Seoul,https://www.google.com/maps/search/?api=1&query=Gentle%20Monster%2050%20Apgujeong-ro%2046-gil%2C%20Gangnam-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,xl11
Hongik Pharmacy,"7 Yanghwa-ro 18-gil, 1F, Mapo-gu, Seoul, South Korea","K-Beauty-Apotheke, dem Namen nach beim Hongik-Campus.",Shopping,Hongdae,https://www.google.com/maps/search/?api=1&query=Hongik%20Pharmacy%207%20Yanghwa-ro%2018-gil%2C%201F%2C%20Mapo-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,hongp
LIFEWORK,"123 Toegye-ro, Jung-gu, Seoul, South Korea","Oversized-Silhouetten, Grafik-Logos, eigene Charakterdesigns. Auch Kids.",Shopping,Myeongdong,https://www.google.com/maps/search/?api=1&query=LIFEWORK%20123%20Toegye-ro%2C%20Jung-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,lifew
Louevre,"29 Seoulsup 2-gil, Seongdong-gu, Seoul, South Korea",Lokales Label aus dem Shopping-Guide gegen Touri-Fallen.,Shopping,Seoul,https://www.google.com/maps/search/?api=1&query=Louevre%2029%20Seoulsup%202-gil%2C%20Seongdong-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,louev
MAAP,"13-12 Apgujeong-ro 4-gil, Gangnam-gu, Seoul, South Korea",Aus eurer Excel-Liste. Cycling / Lab Style,Shopping,Gangnam,https://www.google.com/maps/search/?api=1&query=MAAP%2013-12%20Apgujeong-ro%204-gil%2C%20Gangnam-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,xl40
Marga Sherwood,"13 Yeonmujang 11-gil, Seongdong-gu, Seoul, South Korea","Aus dem Spots-Carousel, Store-Schild im Bild erkennbar.",Shopping,Seoul,https://www.google.com/maps/search/?api=1&query=Marga%20Sherwood%2013%20Yeonmujang%2011-gil%2C%20Seongdong-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,marga
Matin Kim,"32-28 Myeong-dong 2-ga, Jung-gu, Seoul, South Korea","Zeitgenössische koreanische Mode, entspannte Schnitte mit Attitüde.",Shopping,Myeongdong,https://www.google.com/maps/search/?api=1&query=Matin%20Kim%2032-28%20Myeong-dong%202-ga%2C%20Jung-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,mkim
Mega Pharmacy,"291-7 Doksan-dong, Homeplus 4F, Geumcheon-gu, Seoul, South Korea",K-Beauty-Apotheke mit Tax-free und mehrsprachiger Beratung.,Shopping,Seoul,https://www.google.com/maps/search/?api=1&query=Mega%20Pharmacy%20291-7%20Doksan-dong%2C%20Homeplus%204F%2C%20Geumcheon-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,mega
